eventID,year,month,day,longitude,latitude,magnitude,sigmaMagnitude
317,1577,2,2,7.5,46.95,3.71,0.59
318,1577,10,23,7.667,48,4.7,0.43
319,1578,5,20,5.35,45.583,4.5,0.45
320,1578,9,28,8.86,47.67,3.88,0.59
321,1579,1,26,2,46.583,6,0.47
322,1579,8,10,1.367,46,4.1,0.52
323,1579,12,26,4.9,44.933,3.2,0.49
324,1580,4,6,1.5,51,5.8,0.49
325,1580,4,15,2.817,42.083,2.8,0.56
326,1580,5,1,1.088,51.205,3.66,0.3
327,1580,6,15,5.717,45.183,2.6,0.65
328,1581,3,13,4.9,44.933,2.6,0.65
329,1581,9,20,4.85,45.767,3.1,0.55
330,1583,1,19,6.333,46.133,2.6,0.65
331,1584,3,1,7.362,44.466,4.6,0.32
332,1584,3,11,6.9,46.417,5.8,0.4
333,1584,3,13,6.97,46.33,3.79,0.6
334,1584,3,14,6.98,46.32,5.22,0.66
335,1584,3,20,7.6,47.55,3.1,0.55
336,1584,3,20,6.63,46.78,3.71,0.59
337,1584,11,12,-1.517,48.633,4.7,0.49
338,1585,5,4,7.6,47.55,3.1,0.55
339,1586,1,12,11,44.583,4.83,0.3
340,1586,10,31,9.717,46.617,3.9,0.67
341,1588,3,25,-0.55,47.4,5.3,0.38
342,1588,6,15,5.3,43.717,4.5,0.43
343,1590,12,28,6.8,44.75,3.3,0.63
344,1591,4,24,-1.367,46.2,4.3,0.49
345,1591,5,24,10.631,44.697,4.75,0.32
346,1591,5,31,-0.55,47.467,3.2,0.51
347,1591,9,3,7.583,47.517,3.9,0.67
348,1591,12,20,-0.55,47.467,3.2,0.51
349,1592,7,6,0.067,43.233,3.6,0.54
350,1592,7,15,3.883,45.05,3.1,0.55
351,1592,11,13,6.033,47.25,3.1,0.55
352,1593,1,8,6.183,46.017,3.7,0.44
353,1593,3,8,9.67,45.694,4.96,0.34
354,1593,4,4,0.55,46.817,3.2,0.51
355,1593,4,8,-0.55,47.467,4.7,0.49
356,1593,4,9,-1.317,46.183,3.4,0.48
357,1593,11,15,6.933,47,3.4,0.53
358,1593,11,19,-1.15,46.167,4,0.49
359,1594,5,8,3.117,45.883,3.8,0.53
360,1595,2,8,9.45,46.75,3.9,0.67
361,1596,11,10,-0.55,47.467,3.2,0.51
362,1598,12,12,-1.15,46.167,3.2,0.51
363,1600,6,16,-1.15,46.167,3.2,0.51
364,1601,2,25,6.933,47,3,0.54
365,1601,6,21,5.9,43.883,3.4,0.45
366,1601,8,18,6.933,47,3,0.54
367,1601,9,18,8.36,46.92,5.83,0.31
368,1601,12,19,-3.833,48.583,4,0.49
369,1603,1,26,5.033,43.833,2.8,0.65
370,1603,3,20,5.033,43.833,2.8,0.65
371,1603,6,29,5.033,43.833,2.8,0.65
372,1603,11,29,5.033,43.833,2.5,0.66
373,1604,4,14,7.6,47.55,3.1,0.55
374,1604,11,11,8.25,46.9,3.9,0.67
375,1604,12,7,4.683,44.483,2.6,0.94
376,1604,12,20,1.167,46.35,3,0.54
377,1605,4,15,9.57,46.61,3.9,0.67
378,1605,8,24,-1.15,46.167,4.3,0.49
379,1606,7,22,-0.417,48.517,3.2,0.51
380,1606,8,22,9.67,45.694,4.96,0.34
381,1606,10,11,-1.15,46.167,3.2,0.51
382,1607,1,27,9.433,46.7,3.9,0.67
383,1608,1,6,10.631,44.697,4.75,0.32
384,1608,9,3,-0.583,47.433,3.3,0.5
385,1608,11,28,1.45,43.6,3,0.54
